部门,员工,费用类型,金额,日期
销售部,员工16,餐饮费,2790,2024-01-09
销售部,员工44,客户招待,3202,2024-01-04
销售部,员工38,软件订阅,5911,2024-01-03
销售部,员工14,餐饮费,2814,2024-01-03
财务部,员工42,客户招待,2307,2024-01-23
财务部,员工29,培训费,2279,2024-01-08
财务部,员工01,餐饮费,1809,2024-01-28
财务部,员工18,餐饮费,2548,2024-01-11
IT部,员工07,差旅费,7921,2024-01-11
IT部,员工23,培训费,5242,2024-01-12
IT部,员工47,软件订阅,4707,2024-01-02
IT部,员工06,培训费,5968,2024-01-13
IT部,员工40,办公用品,4840,2024-01-21
HR部,员工43,餐饮费,3607,2024-01-02
HR部,员工15,差旅费,3777,2024-01-03
HR部,员工41,办公用品,2802,2024-01-15
HR部,员工14,客户招待,2263,2024-01-12
HR部,员工42,差旅费,2522,2024-01-22
运营部,员工11,软件订阅,2876,2024-01-08
运营部,员工45,培训费,2529,2024-01-21
运营部,员工50,差旅费,2171,2024-01-11
运营部,员工21,软件订阅,2193,2024-01-02
运营部,员工37,客户招待,2279,2024-01-07
